OPUS ID,Product Category,Product Type,Product Type Abbrev,Version,File Path,Checksum,Size
vg-iss-2-u-c2684533,Voyager ISS,Geometrically Corrected Image,vgiss_geomed,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684533_GEOMED.IMG,27f5b2209fc964de7eb1a76cdc6bf590,2002000
vg-iss-2-u-c2684533,Voyager ISS,Geometrically Corrected Image,vgiss_geomed,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684533_GEOMED.LBL,c43e720a1fb967743488334fade591b9,3306
vg-iss-2-u-c2684533,Voyager ISS,Reseau Table,vgiss_resloc,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684533_RESLOC.TAB,abbdcc88814ba760479dae35bc171c1a,5454
vg-iss-2-u-c2684533,Voyager ISS,Reseau Table,vgiss_resloc,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684533_RESLOC.DAT,aa16eda17e469174cae7d10ad2690377,6656
vg-iss-2-u-c2684533,Voyager ISS,Reseau Table,vgiss_resloc,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684533_RESLOC.LBL,e1abeb7235c9da25165418bea8cb3f9b,7641
vg-iss-2-u-c2684533,Voyager ISS,Geometric Tiepoint Table,vgiss_geoma,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684533_GEOMA.TAB,465f70482d8abadcfd3eecf4703b3b0d,20424
vg-iss-2-u-c2684533,Voyager ISS,Geometric Tiepoint Table,vgiss_geoma,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684533_GEOMA.DAT,a8f8c8b443129a74d54db97104cf5ea3,11776
vg-iss-2-u-c2684533,Voyager ISS,Geometric Tiepoint Table,vgiss_geoma,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684533_GEOMA.LBL,b83ddff8d15092dc59b09687a7eb9f48,9660
vg-iss-2-u-c2684533,Voyager ISS,Extra Preview (geometrically corrected),vgiss_geomed_browse,Current,/volumes/VGISS_7xxx/VGISS_7206/BROWSE/C26845XX/C2684533_GEOMED.JPG,fbbf37e5703256a47e1e4f6ca83818db,64510
vg-iss-2-u-c2684533,Voyager ISS,Extra Preview (geometrically corrected),vgiss_geomed_browse,Current,/volumes/VGISS_7xxx/VGISS_7206/BROWSE/C26845XX/C2684533_GEOMED.LBL,156ca6b77b1583095226a2b6ba63722b,857
vg-iss-2-u-c2684535,Voyager ISS,Geometrically Corrected Image,vgiss_geomed,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684535_GEOMED.IMG,33d4987626f62dd61c2bf858706f3bae,2002000
vg-iss-2-u-c2684535,Voyager ISS,Geometrically Corrected Image,vgiss_geomed,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684535_GEOMED.LBL,014b14078971a393e55f6f8ceb6d1f84,3306
vg-iss-2-u-c2684535,Voyager ISS,Reseau Table,vgiss_resloc,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684535_RESLOC.TAB,cd0320f99aa349af81b0a522dcb21df4,5454
vg-iss-2-u-c2684535,Voyager ISS,Reseau Table,vgiss_resloc,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684535_RESLOC.DAT,8270bef78132e7077f766f5bceaed213,6656
vg-iss-2-u-c2684535,Voyager ISS,Reseau Table,vgiss_resloc,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684535_RESLOC.LBL,8d8c5e25bd9b8512b15350f40596270f,7641
vg-iss-2-u-c2684535,Voyager ISS,Geometric Tiepoint Table,vgiss_geoma,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684535_GEOMA.TAB,b523a8de86053811b93f8a516e263eef,20424
vg-iss-2-u-c2684535,Voyager ISS,Geometric Tiepoint Table,vgiss_geoma,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684535_GEOMA.DAT,08bcdfd45ab5c0fc52930154f938782e,11776
vg-iss-2-u-c2684535,Voyager ISS,Geometric Tiepoint Table,vgiss_geoma,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684535_GEOMA.LBL,01a6caeddbfb8951a9f43fa5d72c5864,9660
vg-iss-2-u-c2684535,Voyager ISS,Extra Preview (geometrically corrected),vgiss_geomed_browse,Current,/volumes/VGISS_7xxx/VGISS_7206/BROWSE/C26845XX/C2684535_GEOMED.JPG,a8421c36828321d23ac8016d0fb8753c,53561
vg-iss-2-u-c2684535,Voyager ISS,Extra Preview (geometrically corrected),vgiss_geomed_browse,Current,/volumes/VGISS_7xxx/VGISS_7206/BROWSE/C26845XX/C2684535_GEOMED.LBL,75758351612b14acbcb03263310ce499,857
vg-iss-2-u-c2684537,Voyager ISS,Geometrically Corrected Image,vgiss_geomed,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684537_GEOMED.IMG,1c865736408d2dcf9793663978b65ffe,2002000
vg-iss-2-u-c2684537,Voyager ISS,Geometrically Corrected Image,vgiss_geomed,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684537_GEOMED.LBL,db4b4063b699c64eb3dad8b67617522a,3306
vg-iss-2-u-c2684537,Voyager ISS,Reseau Table,vgiss_resloc,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684537_RESLOC.TAB,00e9534861016b4f39aa721981337213,5454
vg-iss-2-u-c2684537,Voyager ISS,Reseau Table,vgiss_resloc,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684537_RESLOC.DAT,31e03feb7bcf8dba7ca8a8e7b970b727,6656
vg-iss-2-u-c2684537,Voyager ISS,Reseau Table,vgiss_resloc,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684537_RESLOC.LBL,5659e1cad2b66333a745904faa2ec450,7641
vg-iss-2-u-c2684537,Voyager ISS,Geometric Tiepoint Table,vgiss_geoma,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684537_GEOMA.TAB,9b16ec343ae21decdce55591417e22a1,20424
vg-iss-2-u-c2684537,Voyager ISS,Geometric Tiepoint Table,vgiss_geoma,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684537_GEOMA.DAT,736711f42cb4667f9d172d8cb1783fe5,11776
vg-iss-2-u-c2684537,Voyager ISS,Geometric Tiepoint Table,vgiss_geoma,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684537_GEOMA.LBL,5bb4e67d01ec14e9860cfc432db5ef43,9660
vg-iss-2-u-c2684537,Voyager ISS,Extra Preview (geometrically corrected),vgiss_geomed_browse,Current,/volumes/VGISS_7xxx/VGISS_7206/BROWSE/C26845XX/C2684537_GEOMED.JPG,9b94276ac146f0dd1e0294c9b4fc4fd7,43934
vg-iss-2-u-c2684537,Voyager ISS,Extra Preview (geometrically corrected),vgiss_geomed_browse,Current,/volumes/VGISS_7xxx/VGISS_7206/BROWSE/C26845XX/C2684537_GEOMED.LBL,958f44ec832be6c499f9f366461c9f84,857
vg-iss-2-u-c2684539,Voyager ISS,Geometrically Corrected Image,vgiss_geomed,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684539_GEOMED.IMG,804edd4a57a483a15db3b05ac862a4a6,2002000
vg-iss-2-u-c2684539,Voyager ISS,Geometrically Corrected Image,vgiss_geomed,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684539_GEOMED.LBL,3098969380267e08731d515c1ad64e63,3306
vg-iss-2-u-c2684539,Voyager ISS,Reseau Table,vgiss_resloc,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684539_RESLOC.TAB,8256cfcb78119fef4cb889d9d01565eb,5454
vg-iss-2-u-c2684539,Voyager ISS,Reseau Table,vgiss_resloc,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684539_RESLOC.DAT,5d07ee0b1bbb3e05f4113444a1786f67,6656
vg-iss-2-u-c2684539,Voyager ISS,Reseau Table,vgiss_resloc,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684539_RESLOC.LBL,59081e1b664f549845759e61a5a7c435,7641
vg-iss-2-u-c2684539,Voyager ISS,Geometric Tiepoint Table,vgiss_geoma,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684539_GEOMA.TAB,69a92093119929a138bd97ddd6e61cfa,20424
vg-iss-2-u-c2684539,Voyager ISS,Geometric Tiepoint Table,vgiss_geoma,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684539_GEOMA.DAT,69e3ddc3a2f8e2d6e71bf715cfe02ebf,11776
vg-iss-2-u-c2684539,Voyager ISS,Geometric Tiepoint Table,vgiss_geoma,Current,/volumes/VGISS_7xxx/VGISS_7206/DATA/C26845XX/C2684539_GEOMA.LBL,72b18ac8a36e64ef89f7e89438c7b33f,9660
vg-iss-2-u-c2684539,Voyager ISS,Extra Preview (geometrically corrected),vgiss_geomed_browse,Current,/volumes/VGISS_7xxx/VGISS_7206/BROWSE/C26845XX/C2684539_GEOMED.JPG,2e1f7b882c9f499ad1575c16d3e8a2c7,38193
vg-iss-2-u-c2684539,Voyager ISS,Extra Preview (geometrically corrected),vgiss_geomed_browse,Current,/volumes/VGISS_7xxx/VGISS_7206/BROWSE/C26845XX/C2684539_GEOMED.LBL,3e160f6cd1884b7e5640fbb0692ea82d,857
