OPUS ID,Instrument Name,Planet,Intended Target Name(s),Observation Start Time (YMDhms),Observation Duration (secs)
vg-iss-2-u-c2684540,Voyager ISS,Uranus,Ariel,1986-01-24T16:13:32.520,0.48
vg-iss-2-u-c2684608,Voyager ISS,Uranus,Miranda,1986-01-24T16:36:43.080,1.92
vg-iss-2-u-c2684611,Voyager ISS,Uranus,Miranda,1986-01-24T16:39:07.080,1.92
vg-iss-2-u-c2684614,Voyager ISS,Uranus,Miranda,1986-01-24T16:41:31.080,1.92
vg-iss-2-u-c2684617,Voyager ISS,Uranus,Miranda,1986-01-24T16:43:55.080,1.92
vg-iss-2-u-c2684620,Voyager ISS,Uranus,Miranda,1986-01-24T16:46:19.080,1.92
vg-iss-2-u-c2684623,Voyager ISS,Uranus,Miranda,1986-01-24T16:48:43.080,1.92
vg-iss-2-u-c2684626,Voyager ISS,Uranus,Miranda,1986-01-24T16:51:07.080,1.92
vg-iss-2-u-c2684629,Voyager ISS,Uranus,Miranda,1986-01-24T16:53:31.080,1.92
vg-iss-2-u-c2684630,Voyager ISS,Uranus,Miranda,1986-01-24T16:53:32.520,0.48
